% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1154 +1.381089067e-05 +1.381089067e-05 +3.137001381e+01 +3.137001381e+01 -2.7206e-01 +1.8987e+00
1240 +9.079549056e-06 +9.079549056e-06 +3.137000908e+01 +3.137000908e+01 -2.7189e-01 +1.8982e+00
1282 +4.923763846e-06 +4.923763846e-06 +3.137000492e+01 +3.137000492e+01 -2.7198e-01 +1.8979e+00
1332 +3.504515306e-06 +3.504515306e-06 +3.137000350e+01 +3.137000350e+01 -2.7199e-01 +1.8977e+00
1357 +1.733107187e-06 +1.733107187e-06 +3.137000173e+01 +3.137000173e+01 -2.7185e-01 +1.8971e+00
1406 +1.095535104e-06 +1.095535104e-06 +3.137000110e+01 +3.137000110e+01 -2.7194e-01 +1.8972e+00
1417 +7.937601048e-07 +7.937601048e-07 +3.137000079e+01 +3.137000079e+01 -2.7201e-01 +1.8972e+00
1440 +4.492350634e-07 +4.492350634e-07 +3.137000045e+01 +3.137000045e+01 -2.7193e-01 +1.8970e+00
1467 +1.149555580e-07 +1.149555580e-07 +3.137000011e+01 +3.137000011e+01 -2.7196e-01 +1.8969e+00
1540 +6.818678955e-08 +6.818678955e-08 +3.137000007e+01 +3.137000007e+01 -2.7197e-01 +1.8968e+00
1597 +1.853321052e-08 +1.853321052e-08 +3.137000002e+01 +3.137000002e+01 -2.7198e-01 +1.8968e+00
1696 +1.579283193e-08 +1.579283193e-08 +3.137000002e+01 +3.137000002e+01 -2.7199e-01 +1.8968e+00
1730 +5.907228484e-09 +5.907228484e-09 +3.137000001e+01 +3.137000001e+01 -2.7199e-01 +1.8968e+00
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.195147701e+05 +9.195147701e+05 +9.185147701e+05 +9.185147701e+05 -4.8698e+00 +1.5195e+00
2 +2.448712022e+01 +2.448712022e+01 -9.755128798e+02 -9.755128798e+02 +2.8111e+00 +8.9080e-01
28 +3.453477932e+00 +3.453477932e+00 -9.965465221e+02 -9.965465221e+02 +6.3005e-01 -2.9326e+00
41 +2.435372560e-01 +2.435372560e-01 -9.997564627e+02 -9.997564627e+02 -7.0835e-02 -3.4237e+00
177 +1.161521832e-01 +1.161521832e-01 -9.998838478e+02 -9.998838478e+02 -6.1580e-02 -3.2619e+00
213 +8.000216944e-02 +8.000216944e-02 -9.999199978e+02 -9.999199978e+02 -1.1503e-01 -3.3623e+00
238 +3.957379302e-02 +3.957379302e-02 -9.999604262e+02 -9.999604262e+02 -1.0781e-01 -3.2160e+00
257 +8.578381061e-03 +8.578381061e-03 -9.999914216e+02 -9.999914216e+02 -1.5698e-01 -3.3135e+00
457 +5.185221573e-03 +5.185221573e-03 -9.999948148e+02 -9.999948148e+02 -1.6319e-01 -3.3186e+00
568 +3.585218738e-03 +3.585218738e-03 -9.999964148e+02 -9.999964148e+02 -1.6593e-01 -3.2953e+00
747 +2.468077066e-03 +2.468077066e-03 -9.999975319e+02 -9.999975319e+02 -1.6925e-01 -3.3029e+00
752 +1.163524618e-03 +1.163524618e-03 -9.999988365e+02 -9.999988365e+02 -1.8094e-01 -3.3363e+00
812 +8.825444520e-04 +8.825444520e-04 -9.999991175e+02 -9.999991175e+02 -1.8060e-01 -3.3327e+00
827 +2.721181131e-04 +2.721181131e-04 -9.999997279e+02 -9.999997279e+02 -1.8139e-01 -3.3255e+00
832 +1.789675010e-04 +1.789675010e-04 -9.999998210e+02 -9.999998210e+02 -1.8274e-01 -3.3280e+00
882 +1.121498545e-04 +1.121498545e-04 -9.999998879e+02 -9.999998879e+02 -1.8531e-01 -3.3327e+00
901 +1.570637494e-05 +1.570637494e-05 -9.999999843e+02 -9.999999843e+02 -1.8539e-01 -3.3294e+00
951 +4.993721859e-06 +4.993721859e-06 -9.999999950e+02 -9.999999950e+02 -1.8586e-01 -3.3298e+00
1027 +3.813855415e-06 +3.813855415e-06 -9.999999962e+02 -9.999999962e+02 -1.8603e-01 -3.3303e+00
1060 +2.487365578e-06 +2.487365578e-06 -9.999999975e+02 -9.999999975e+02 -1.8604e-01 -3.3298e+00
1198 +1.074676675e-06 +1.074676675e-06 -9.999999989e+02 -9.999999989e+02 -1.8616e-01 -3.3302e+00
1277 +5.053021823e-07 +5.053021823e-07 -9.999999995e+02 -9.999999995e+02 -1.8624e-01 -3.3302e+00
1318 +2.845995368e-07 +2.845995368e-07 -9.999999997e+02 -9.999999997e+02 -1.8629e-01 -3.3302e+00
1368 +2.169782647e-07 +2.169782647e-07 -9.999999998e+02 -9.999999998e+02 -1.8631e-01 -3.3302e+00
1632 +1.558536269e-07 +1.558536269e-07 -9.999999998e+02 -9.999999998e+02 -1.8632e-01 -3.3303e+00
1790 +6.254913387e-08 +6.254913387e-08 -9.999999999e+02 -9.999999999e+02 -1.8636e-01 -3.3304e+00
1823 +2.836497970e-08 +2.836497970e-08 -1.000000000e+03 -1.000000000e+03 -1.8637e-01 -3.3304e+00
1859 +1.666955995e-08 +1.666955995e-08 -1.000000000e+03 -1.000000000e+03 -1.8638e-01 -3.3304e+00
1873 +6.210143511e-09 +6.210143511e-09 -1.000000000e+03 -1.000000000e+03 -1.8639e-01 -3.3304e+00
% function evaluation | noise-free fitness - Fopt (1.319200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.494722611e+05 +1.494722611e+05 +1.496041811e+05 +1.496041811e+05 +8.5676e-01 +2.7977e+00
